Match,Date,Ground,Team1,Team2,Winner,Win by,Opponent,Day,csk
2,2008-04-19,Mohali,Punjab Kings,Chennai Super Kings,Chennai Super Kings,1st Batting,Punjab Kings,Saturday,1
8,2008-04-23,Chennai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,1st Batting,Mumbai Indians,Wednesday,1
11,2008-04-26,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Chasing,Kolkata Knight Riders,Saturday,1
15,2008-04-28,Bengaluru,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,1st Batting,Royal Challengers Bangalore,Monday,1
20,2008-05-02,Chennai,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Chasing,Delhi Capitals,Friday,0
24,2008-05-04,Jaipur,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Chasing,Rajasthan Royals,Sunday,0
26,2008-05-06,Chennai,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Chasing,Sunrisers Hyderabad,Tuesday,0
28,2008-05-08,Delhi,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Chasing,Delhi Capitals,Thursday,1
31,2008-05-10,Chennai,Chennai Super Kings,Punjab Kings,Chennai Super Kings,1st Batting,Punjab Kings,Saturday,1
36,2008-05-14,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Chasing,Mumbai Indians,Wednesday,0
41,2008-05-18,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,1st Batting,Kolkata Knight Riders,Sunday,1
46,2008-05-21,Chennai,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,1st Batting,Royal Challengers Bangalore,Wednesday,0
48,2008-05-24,Chennai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,1st Batting,Rajasthan Royals,Saturday,0
53,2008-05-27,Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Chasing,Sunrisers Hyderabad,Tuesday,1
57,2008-05-31,Mumbai,Punjab Kings,Chennai Super Kings,Chennai Super Kings,Chasing,Punjab Kings,Saturday,1
58,2008-06-01,Mumbai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chasing,Rajasthan Royals,Sunday,0
59,2009-04-18,Cape Town,Chennai Super Kings,Mumbai Indians,Mumbai Indians,1st Batting,Mumbai Indians,Saturday,0
63,2009-04-20,Port Elizabeth,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,1st Batting,Royal Challengers Bangalore,Monday,1
67,2009-04-23,Durban,Chennai Super Kings,Delhi Capitals,Delhi Capitals,1st Batting,Delhi Capitals,Thursday,0
72,2009-04-27,Durban,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Chasing,Sunrisers Hyderabad,Monday,0
78,2009-04-30,East London,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,1st Batting,Rajasthan Royals,Thursday,1
82,2009-05-02,Johannesburg,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,1st Batting,Delhi Capitals,Saturday,1
85,2009-05-04,East London,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,1st Batting,Sunrisers Hyderabad,Monday,1
90,2009-05-07,Centurion,Chennai Super Kings,Punjab Kings,Chennai Super Kings,1st Batting,Punjab Kings,Thursday,1
93,2009-05-09,Kimberley,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Chasing,Rajasthan Royals,Saturday,1
