Match,Date,Teams,Ground,Result,Team1,Team2,Winner,Win by,Chasing Team
1,2008-04-18,Royal Challengers Bangalore v Kolkata Knight Riders,Bengaluru,Kolkata Knight Riders won by 140 Runs,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,140 Runs,Lost
2,2008-04-19,Punjab Kings v Chennai Super Kings,Mohali,Chennai Super Kings won by 33 Runs,Punjab Kings,Chennai Super Kings,Chennai Super Kings,33 Runs,Lost
3,2008-04-19,Delhi Capitals v Rajasthan Royals,Delhi,Delhi Capitals won by 9 Wickets,Delhi Capitals,Rajasthan Royals,Delhi Capitals,9 Wickets,Won
4,2008-04-20,Kolkata Knight Riders v Deccan Chargers,Kolkata,Kolkata Knight Riders won by 5 Wickets,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,5 Wickets,Won
5,2008-04-20,Mumbai Indians v Royal Challengers Bangalore,Mumbai,Royal Challengers Bangalore won by 5 Wickets,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,5 Wickets,Won
6,2008-04-21,Rajasthan Royals v Punjab Kings,Jaipur,Rajasthan Royals won by 6 Wickets,Rajasthan Royals,Punjab Kings,Rajasthan Royals,6 Wickets,Won
7,2008-04-22,Deccan Chargers v Delhi Capitals,Hyderabad,Delhi Capitals won by 9 Wickets,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,9 Wickets,Won
8,2008-04-23,Chennai Super Kings v Mumbai Indians,Chennai,Chennai Super Kings won by 6 Runs,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,6 Runs,Lost
9,2008-04-24,Deccan Chargers v Rajasthan Royals,Hyderabad,Rajasthan Royals won by 3 Wickets,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,3 Wickets,Won
10,2008-04-25,Punjab Kings v Mumbai Indians,Mohali,Punjab Kings won by 66 Runs,Punjab Kings,Mumbai Indians,Punjab Kings,66 Runs,Lost
11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders,Chennai,Chennai Super Kings won by 9 Wickets,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,9 Wickets,Won
12,2008-04-26,Royal Challengers Bangalore v Rajasthan Royals,Bengaluru,Rajasthan Royals won by 7 Wickets,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,7 Wickets,Won
13,2008-04-27,Punjab Kings v Delhi Capitals,Mohali,Punjab Kings won by 4 Wickets,Punjab Kings,Delhi Capitals,Punjab Kings,4 Wickets,Won
14,2008-04-27,Mumbai Indians v Deccan Chargers,Mumbai,Deccan Chargers won by 10 Wickets,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,10 Wickets,Won
15,2008-04-28,Royal Challengers Bangalore v Chennai Super Kings,Bengaluru,Chennai Super Kings won by 13 Runs,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,13 Runs,Lost
16,2008-04-29,Kolkata Knight Riders v Mumbai Indians,Kolkata,Mumbai Indians won by 7 Wickets,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,7 Wickets,Won
17,2008-04-30,Delhi Capitals v Royal Challengers Bangalore,Delhi,Delhi Capitals won by 10 Runs,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,10 Runs,Lost
18,2008-05-01,Rajasthan Royals v Kolkata Knight Riders,Jaipur,Rajasthan Royals won by 45 Runs,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,45 Runs,Lost
19,2008-05-01,Deccan Chargers v Punjab Kings,Hyderabad,Punjab Kings won by 7 Wickets,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,7 Wickets,Won
20,2008-05-02,Chennai Super Kings v Delhi Capitals,Chennai,Delhi Capitals won by 8 Wickets,Chennai Super Kings,Delhi Capitals,Delhi Capitals,8 Wickets,Won
21,2008-05-03,Royal Challengers Bangalore v Deccan Chargers,Bengaluru,Royal Challengers Bangalore won by 3 Runs,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,3 Runs,Lost
22,2008-05-03,Punjab Kings v Kolkata Knight Riders,Mohali,Punjab Kings won by 9 Runs,Punjab Kings,Kolkata Knight Riders,Punjab Kings,9 Runs,Lost
23,2008-05-04,Mumbai Indians v Delhi Capitals,Mumbai,Mumbai Indians won by 29 Runs,Mumbai Indians,Delhi Capitals,Mumbai Indians,29 Runs,Lost
24,2008-05-04,Rajasthan Royals v Chennai Super Kings,Jaipur,Rajasthan Royals won by 8 Wickets,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,8 Wickets,Won
25,2008-05-05,Royal Challengers Bangalore v Punjab Kings,Bengaluru,Punjab Kings won by 6 Wickets,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,6 Wickets,Won
26,2008-05-06,Chennai Super Kings v Deccan Chargers,Chennai,Deccan Chargers won by 7 Wickets,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,7 Wickets,Won
27,2008-05-07,Mumbai Indians v Rajasthan Royals,Mumbai,Mumbai Indians won by 7 Wickets,Mumbai Indians,Rajasthan Royals,Mumbai Indians,7 Wickets,Won
28,2008-05-08,Delhi Capitals v Chennai Super Kings,Delhi,Chennai Super Kings won by 4 Wickets,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,4 Wickets,Won
29,2008-05-08,Kolkata Knight Riders v Royal Challengers Bangalore,Kolkata,Kolkata Knight Riders won by 5 Runs,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,5 Runs,Lost
30,2008-05-09,Rajasthan Royals v Deccan Chargers,Jaipur,Rajasthan Royals won by 8 Wickets,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,8 Wickets,Won
31,2008-05-10,Chennai Super Kings v Punjab Kings,Chennai,Chennai Super Kings won by 18 Runs,Chennai Super Kings,Punjab Kings,Chennai Super Kings,18 Runs,Lost
32,2008-05-11,Deccan Chargers v Kolkata Knight Riders,Hyderabad,Kolkata Knight Riders won by 23 Runs,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,23 Runs,Lost
