,Match,Date,Teams,Ground,Result
0,1,18/04/2008,Royal Challengers Bangalore v Kolkata Knight Riders,"Bengaluru, Bangalore",Kolkata Knight Riders won by 140 Runs
1,2,19/04/2008,Punjab Kings v Chennai Super Kings,"Mohali, Chandigarh",Chennai Super Kings won by 33 Runs
2,3,19/04/2008,Delhi Capitals v Rajasthan Royals,Delhi,Delhi Capitals won by 9 Wickets
3,4,20/04/2008,Kolkata Knight Riders v Deccan Chargers,Kolkata,Kolkata Knight Riders won by 5 Wickets
4,5,20/04/2008,Mumbai Indians v Royal Challengers Bangalore,Mumbai,Royal Challengers Bangalore won by 5 Wickets
5,6,21/04/2008,Rajasthan Royals v Punjab Kings,Jaipur,Rajasthan Royals won by 6 Wickets
6,7,22/04/2008,Deccan Chargers v Delhi Capitals,Hyderabad,Delhi Capitals won by 9 Wickets
7,8,23/04/2008,Chennai Super Kings v Mumbai Indians,Chennai,Chennai Super Kings won by 6 Runs
8,9,24/04/2008,Deccan Chargers v Rajasthan Royals,Hyderabad,Rajasthan Royals won by 3 Wickets
9,10,25/04/2008,Punjab Kings v Mumbai Indians,"Mohali, Chandigarh",Punjab Kings won by 66 Runs
10,11,26/04/2008,Chennai Super Kings v Kolkata Knight Riders,Chennai,Chennai Super Kings won by 9 Wickets
11,12,26/04/2008,Royal Challengers Bangalore v Rajasthan Royals,"Bengaluru, Bangalore",Rajasthan Royals won by 7 Wickets
12,13,27/04/2008,Punjab Kings v Delhi Capitals,"Mohali, Chandigarh",Punjab Kings won by 4 Wickets
13,14,27/04/2008,Mumbai Indians v Deccan Chargers,Mumbai,Deccan Chargers won by 10 Wickets
14,15,28/04/2008,Royal Challengers Bangalore v Chennai Super Kings,"Bengaluru, Bangalore",Chennai Super Kings won by 13 Runs
15,16,29/04/2008,Kolkata Knight Riders v Mumbai Indians,Kolkata,Mumbai Indians won by 7 Wickets
16,17,30/04/2008,Delhi Capitals v Royal Challengers Bangalore,Delhi,Delhi Capitals won by 10 Runs
17,18,01/05/2008,Rajasthan Royals v Kolkata Knight Riders,Jaipur,Rajasthan Royals won by 45 Runs
18,19,01/05/2008,Deccan Chargers v Punjab Kings,Hyderabad,Punjab Kings won by 7 Wickets
19,20,02/05/2008,Chennai Super Kings v Delhi Capitals,Chennai,Delhi Capitals won by 8 Wickets
20,21,03/05/2008,Royal Challengers Bangalore v Deccan Chargers,"Bengaluru, Bangalore",Royal Challengers Bangalore won by 3 Runs
21,22,03/05/2008,Punjab Kings v Kolkata Knight Riders,"Mohali, Chandigarh",Punjab Kings won by 9 Runs
22,23,04/05/2008,Mumbai Indians v Delhi Capitals,Mumbai,Mumbai Indians won by 29 Runs
23,24,04/05/2008,Rajasthan Royals v Chennai Super Kings,Jaipur,Rajasthan Royals won by 8 Wickets
24,25,05/05/2008,Royal Challengers Bangalore v Punjab Kings,"Bengaluru, Bangalore",Punjab Kings won by 6 Wickets
25,26,06/05/2008,Chennai Super Kings v Deccan Chargers,Chennai,Deccan Chargers won by 7 Wickets
26,27,07/05/2008,Mumbai Indians v Rajasthan Royals,Mumbai,Mumbai Indians won by 7 Wickets
27,28,08/05/2008,Delhi Capitals v Chennai Super Kings,Delhi,Chennai Super Kings won by 4 Wickets
28,29,08/05/2008,Kolkata Knight Riders v Royal Challengers Bangalore,Kolkata,Kolkata Knight Riders won by 5 Runs
29,30,09/05/2008,Rajasthan Royals v Deccan Chargers,Jaipur,Rajasthan Royals won by 8 Wickets
30,31,10/05/2008,Chennai Super Kings v Punjab Kings,Chennai,Chennai Super Kings won by 18 Runs
31,32,11/05/2008,Deccan Chargers v Kolkata Knight Riders,Hyderabad,Kolkata Knight Riders won by 23 Runs
32,33,11/05/2008,Rajasthan Royals v Delhi Capitals,Jaipur,Rajasthan Royals won by 3 Wickets
33,34,12/05/2008,Punjab Kings v Royal Challengers Bangalore,"Mohali, Chandigarh",Punjab Kings won by 9 Wickets
34,35,13/05/2008,Kolkata Knight Riders v Delhi Capitals,Kolkata,Kolkata Knight Riders won by 23 Runs
35,36,14/05/2008,Mumbai Indians v Chennai Super Kings,Mumbai,Mumbai Indians won by 9 Wickets
36,37,15/05/2008,Delhi Capitals v Deccan Chargers,Delhi,Delhi Capitals won by 12 Runs
37,38,16/05/2008,Mumbai Indians v Kolkata Knight Riders,Mumbai,Mumbai Indians won by 8 Wickets
38,39,17/05/2008,Rajasthan Royals v Royal Challengers Bangalore,Jaipur,Rajasthan Royals won by 65 Runs
39,40,17/05/2008,Delhi Capitals v Punjab Kings,Delhi,Punjab Kings won by 6 Runs [D/L]
