Ground,Cskplayed,Cskwon,Win%,Lose%
Chennai,56,40,71.43,28.57
Mumbai,25,15,60.0,40.0
Dubai,14,9,64.29,35.71
Kolkata,11,5,45.45,54.55
Delhi,10,7,70.0,30.0
Bengaluru,9,5,55.56,44.44
Pune,8,6,75.0,25.0
Abu Dhabi,8,4,50.0,50.0
Sharjah,6,3,50.0,50.0
Mohali,6,3,50.0,50.0
Jaipur,6,3,50.0,50.0
Hyderabad,6,3,50.0,50.0
Ranchi,5,3,60.0,40.0
Durban,4,1,25.0,75.0
Visakhapatnam,2,2,100.0,0.0
Port Elizabeth,2,2,100.0,0.0
Johannesburg,2,1,50.0,50.0
East London,2,2,100.0,0.0
Dharamsala,2,1,50.0,50.0
Centurion,2,1,50.0,50.0
Ahmedabad,2,0,0.0,100.0
Raipur,1,0,0.0,100.0
Nagpur,1,0,0.0,100.0
Kochi,1,0,0.0,100.0
Kimberley,1,1,100.0,0.0
Cuttack,1,0,0.0,100.0
Cape Town,1,0,0.0,100.0
